Training for 250 epochs.
Epoch 1: Training Cost = 5.908, Training Acc = 11.13 -- Test Cost = 2.895, Test Acc = 14.34
Epoch 2: Training Cost = 2.458, Training Acc = 23.24 -- Test Cost = 2.293, Test Acc = 27.46
Epoch 3: Training Cost = 1.943, Training Acc = 35.35 -- Test Cost = 2.070, Test Acc = 31.56
Epoch 4: Training Cost = 1.728, Training Acc = 43.85 -- Test Cost = 1.846, Test Acc = 37.30
Epoch 5: Training Cost = 1.315, Training Acc = 55.27 -- Test Cost = 1.744, Test Acc = 47.13
Epoch 6: Training Cost = 1.226, Training Acc = 60.84 -- Test Cost = 1.751, Test Acc = 47.95
Epoch 7: Training Cost = 1.129, Training Acc = 63.28 -- Test Cost = 1.840, Test Acc = 42.62
Epoch 8: Training Cost = 0.965, Training Acc = 66.70 -- Test Cost = 1.851, Test Acc = 48.77
Epoch 9: Training Cost = 0.885, Training Acc = 71.09 -- Test Cost = 1.785, Test Acc = 47.95
Epoch 10: Training Cost = 0.636, Training Acc = 80.08 -- Test Cost = 1.936, Test Acc = 51.64
Epoch 11: Training Cost = 0.607, Training Acc = 81.05 -- Test Cost = 2.136, Test Acc = 50.41
Epoch 12: Training Cost = 0.592, Training Acc = 80.57 -- Test Cost = 2.218, Test Acc = 51.64
Epoch 13: Training Cost = 0.543, Training Acc = 83.01 -- Test Cost = 2.036, Test Acc = 54.10
Epoch 14: Training Cost = 0.482, Training Acc = 84.47 -- Test Cost = 1.946, Test Acc = 48.77
Epoch 15: Training Cost = 0.378, Training Acc = 88.48 -- Test Cost = 1.802, Test Acc = 56.56
Epoch 16: Training Cost = 0.357, Training Acc = 88.48 -- Test Cost = 1.922, Test Acc = 58.61
Epoch 17: Training Cost = 0.256, Training Acc = 90.14 -- Test Cost = 2.239, Test Acc = 54.10
Epoch 18: Training Cost = 0.261, Training Acc = 92.58 -- Test Cost = 2.233, Test Acc = 54.92
Epoch 19: Training Cost = 0.334, Training Acc = 91.02 -- Test Cost = 2.287, Test Acc = 55.74
Epoch 20: Training Cost = 0.290, Training Acc = 90.23 -- Test Cost = 2.049, Test Acc = 56.97
Epoch 21: Training Cost = 0.228, Training Acc = 92.77 -- Test Cost = 2.647, Test Acc = 56.56
Epoch 22: Training Cost = 0.247, Training Acc = 92.68 -- Test Cost = 2.926, Test Acc = 54.10
Epoch 23: Training Cost = 0.285, Training Acc = 92.09 -- Test Cost = 2.263, Test Acc = 53.28
Epoch 24: Training Cost = 0.218, Training Acc = 93.26 -- Test Cost = 2.465, Test Acc = 57.38
Epoch 25: Training Cost = 0.177, Training Acc = 94.92 -- Test Cost = 2.369, Test Acc = 56.97
Epoch 26: Training Cost = 0.152, Training Acc = 94.73 -- Test Cost = 2.617, Test Acc = 56.56
Epoch 27: Training Cost = 0.159, Training Acc = 95.12 -- Test Cost = 3.410, Test Acc = 52.46
Epoch 28: Training Cost = 0.208, Training Acc = 95.21 -- Test Cost = 2.553, Test Acc = 55.33
Epoch 29: Training Cost = 0.217, Training Acc = 94.14 -- Test Cost = 2.947, Test Acc = 48.77
Epoch 30: Training Cost = 0.253, Training Acc = 93.95 -- Test Cost = 2.720, Test Acc = 53.69
Epoch 31: Training Cost = 0.141, Training Acc = 95.70 -- Test Cost = 2.700, Test Acc = 55.74
Epoch 32: Training Cost = 0.122, Training Acc = 96.39 -- Test Cost = 2.216, Test Acc = 58.61
Epoch 33: Training Cost = 0.152, Training Acc = 96.48 -- Test Cost = 2.611, Test Acc = 59.84
Epoch 34: Training Cost = 0.096, Training Acc = 96.97 -- Test Cost = 2.844, Test Acc = 57.38
Epoch 35: Training Cost = 0.109, Training Acc = 96.97 -- Test Cost = 2.797, Test Acc = 56.97
Epoch 36: Training Cost = 0.178, Training Acc = 96.19 -- Test Cost = 2.522, Test Acc = 52.05
Epoch 37: Training Cost = 0.124, Training Acc = 96.48 -- Test Cost = 3.001, Test Acc = 55.33
Epoch 38: Training Cost = 0.145, Training Acc = 96.39 -- Test Cost = 2.735, Test Acc = 55.74
Epoch 39: Training Cost = 0.098, Training Acc = 97.27 -- Test Cost = 2.691, Test Acc = 58.20
Epoch 40: Training Cost = 0.131, Training Acc = 96.78 -- Test Cost = 2.643, Test Acc = 57.38
Epoch 41: Training Cost = 0.136, Training Acc = 96.68 -- Test Cost = 3.472, Test Acc = 52.87
Epoch 42: Training Cost = 0.156, Training Acc = 96.09 -- Test Cost = 3.080, Test Acc = 54.92
Epoch 43: Training Cost = 0.148, Training Acc = 96.29 -- Test Cost = 3.288, Test Acc = 50.82
Epoch 44: Training Cost = 0.131, Training Acc = 95.80 -- Test Cost = 3.430, Test Acc = 59.02
Epoch 45: Training Cost = 0.167, Training Acc = 95.61 -- Test Cost = 2.877, Test Acc = 60.25
Epoch 46: Training Cost = 0.226, Training Acc = 95.41 -- Test Cost = 3.124, Test Acc = 56.56
Epoch 47: Training Cost = 0.276, Training Acc = 94.82 -- Test Cost = 3.485, Test Acc = 52.05
Epoch 48: Training Cost = 0.219, Training Acc = 95.31 -- Test Cost = 3.161, Test Acc = 52.05
Epoch 49: Training Cost = 0.156, Training Acc = 95.80 -- Test Cost = 3.033, Test Acc = 55.74
Epoch 50: Training Cost = 0.156, Training Acc = 96.19 -- Test Cost = 3.118, Test Acc = 55.74
Epoch 51: Training Cost = 0.119, Training Acc = 97.27 -- Test Cost = 3.182, Test Acc = 58.20
Epoch 52: Training Cost = 0.076, Training Acc = 97.36 -- Test Cost = 3.563, Test Acc = 56.56
Epoch 53: Training Cost = 0.110, Training Acc = 97.17 -- Test Cost = 3.140, Test Acc = 60.25
Epoch 54: Training Cost = 0.116, Training Acc = 96.88 -- Test Cost = 3.125, Test Acc = 59.43
Epoch 55: Training Cost = 0.079, Training Acc = 97.95 -- Test Cost = 3.333, Test Acc = 57.38
Epoch 56: Training Cost = 0.194, Training Acc = 97.07 -- Test Cost = 3.666, Test Acc = 51.64
Epoch 57: Training Cost = 0.130, Training Acc = 97.17 -- Test Cost = 3.340, Test Acc = 59.02
Epoch 58: Training Cost = 0.101, Training Acc = 96.97 -- Test Cost = 2.794, Test Acc = 55.74
Epoch 59: Training Cost = 0.137, Training Acc = 96.78 -- Test Cost = 2.970, Test Acc = 58.20
Epoch 60: Training Cost = 0.083, Training Acc = 97.46 -- Test Cost = 3.001, Test Acc = 52.46
Epoch 61: Training Cost = 0.091, Training Acc = 98.34 -- Test Cost = 3.841, Test Acc = 56.15
Epoch 62: Training Cost = 0.118, Training Acc = 97.27 -- Test Cost = 3.908, Test Acc = 53.69
Epoch 63: Training Cost = 0.113, Training Acc = 97.56 -- Test Cost = 4.283, Test Acc = 53.69
Epoch 64: Training Cost = 0.117, Training Acc = 97.56 -- Test Cost = 3.569, Test Acc = 54.10
Epoch 65: Training Cost = 0.112, Training Acc = 97.66 -- Test Cost = 3.641, Test Acc = 54.92
Epoch 66: Training Cost = 0.121, Training Acc = 97.46 -- Test Cost = 2.984, Test Acc = 56.15
Epoch 67: Training Cost = 0.060, Training Acc = 98.24 -- Test Cost = 3.383, Test Acc = 52.87
Epoch 68: Training Cost = 0.058, Training Acc = 98.34 -- Test Cost = 3.445, Test Acc = 55.33
Epoch 69: Training Cost = 0.055, Training Acc = 98.05 -- Test Cost = 3.000, Test Acc = 56.97
Epoch 70: Training Cost = 0.044, Training Acc = 99.02 -- Test Cost = 2.536, Test Acc = 61.48
Epoch 71: Training Cost = 0.037, Training Acc = 99.12 -- Test Cost = 3.038, Test Acc = 54.10
Epoch 72: Training Cost = 0.051, Training Acc = 99.02 -- Test Cost = 3.732, Test Acc = 52.87
Epoch 73: Training Cost = 0.040, Training Acc = 99.12 -- Test Cost = 4.722, Test Acc = 58.20
Epoch 74: Training Cost = 0.037, Training Acc = 98.93 -- Test Cost = 3.656, Test Acc = 58.20
Epoch 75: Training Cost = 0.040, Training Acc = 99.02 -- Test Cost = 3.618, Test Acc = 57.79
Epoch 76: Training Cost = 0.073, Training Acc = 98.93 -- Test Cost = 3.284, Test Acc = 57.79
Epoch 77: Training Cost = 0.032, Training Acc = 99.32 -- Test Cost = 2.825, Test Acc = 61.89
Epoch 78: Training Cost = 0.049, Training Acc = 98.93 -- Test Cost = 3.169, Test Acc = 61.07
Epoch 79: Training Cost = 0.037, Training Acc = 99.12 -- Test Cost = 3.504, Test Acc = 61.48
Epoch 80: Training Cost = 0.028, Training Acc = 99.41 -- Test Cost = 3.426, Test Acc = 60.66
Epoch 81: Training Cost = 0.033, Training Acc = 99.12 -- Test Cost = 3.124, Test Acc = 59.43
Epoch 82: Training Cost = 0.048, Training Acc = 98.83 -- Test Cost = 4.160, Test Acc = 56.97
Epoch 83: Training Cost = 0.055, Training Acc = 98.63 -- Test Cost = 3.831, Test Acc = 60.25
Epoch 84: Training Cost = 0.055, Training Acc = 98.73 -- Test Cost = 4.949, Test Acc = 59.02
Epoch 85: Training Cost = 0.114, Training Acc = 98.24 -- Test Cost = 3.993, Test Acc = 53.69
Epoch 86: Training Cost = 0.154, Training Acc = 96.97 -- Test Cost = 3.754, Test Acc = 53.28
Epoch 87: Training Cost = 0.099, Training Acc = 97.95 -- Test Cost = 3.366, Test Acc = 54.10
Epoch 88: Training Cost = 0.096, Training Acc = 97.66 -- Test Cost = 3.803, Test Acc = 55.33
Epoch 89: Training Cost = 0.151, Training Acc = 97.07 -- Test Cost = 3.943, Test Acc = 59.02
Epoch 90: Training Cost = 0.150, Training Acc = 97.27 -- Test Cost = 4.296, Test Acc = 57.38
Epoch 91: Training Cost = 0.175, Training Acc = 97.17 -- Test Cost = 4.448, Test Acc = 52.87
Epoch 92: Training Cost = 0.097, Training Acc = 97.27 -- Test Cost = 3.853, Test Acc = 59.02
Epoch 93: Training Cost = 0.126, Training Acc = 98.14 -- Test Cost = 4.560, Test Acc = 55.74
Epoch 94: Training Cost = 0.112, Training Acc = 97.46 -- Test Cost = 3.815, Test Acc = 57.79
Epoch 95: Training Cost = 0.119, Training Acc = 97.17 -- Test Cost = 4.264, Test Acc = 56.97
Epoch 96: Training Cost = 0.175, Training Acc = 97.07 -- Test Cost = 4.486, Test Acc = 58.61
Epoch 97: Training Cost = 0.135, Training Acc = 96.97 -- Test Cost = 4.532, Test Acc = 54.92
Epoch 98: Training Cost = 0.319, Training Acc = 95.80 -- Test Cost = 4.132, Test Acc = 56.56
Epoch 99: Training Cost = 0.251, Training Acc = 95.61 -- Test Cost = 4.250, Test Acc = 54.92
Epoch 100: Training Cost = 0.237, Training Acc = 95.61 -- Test Cost = 5.396, Test Acc = 56.15
Epoch 101: Training Cost = 0.274, Training Acc = 95.51 -- Test Cost = 4.449, Test Acc = 57.38
Epoch 102: Training Cost = 0.260, Training Acc = 94.73 -- Test Cost = 3.980, Test Acc = 58.61
